STAR_ID,BINNING,AO_FRAMERATE,DIMM_MEDIAN,WFS_MAG_MEDIAN,var_fit,var_temp,var_vibr,var_alias,var_meas,var_total
G 223-36,2,877.0,1.1254301,13.333983,26895.116666784914,11682.700532533105,24672.478875004646,7894.280050749822,32213.736533922936,103358.31265899542
G135-21,2,1040.0,1.33152,12.84675,35594.97453623126,11077.80849713497,21810.463442543143,15070.253370095905,34902.344956878085,118455.84480288337
HD 238049,1,1700.0,1.07156,10.259104,9181.110619098543,2097.2479999055904,3279.2447636661614,804.1787581863341,3764.657324328332,19126.43946518496
HD 87705,1,1700.0,1.03695,8.9952755,8692.220501592852,1223.4859106014121,2516.3959554220137,714.4933314098753,1818.5968632749507,14965.192562301101
LP 134-72,3,278.0,1.06972,16.005676,52752.068777695386,40639.118516807124,91685.32025969496,24694.60169734339,150427.53087428506,360198.6401258259
LP 227-9,2,783.0,0.8834815,14.006664,17966.838026050118,9734.7758634194,28634.746984413054,3349.3228659231618,32657.952050512176,92343.6357903179
LP 228-31,4,170.0,0.9110435,17.573133,63927.10448282093,89595.81960256846,242279.5070444746,28570.464526221134,294140.85822768067,718513.7538837658
LP 228-31,4,171.0,0.948697,17.561712,68391.00950377586,94781.57796198422,240834.37272918347,30764.628977852637,324654.40041107696,759425.9895838732
LP 269-41,3,837.0,0.97195053,14.667074,44963.7873655072,19382.843085481043,49306.00870562043,18585.67832791094,55374.657223527545,187612.97470804717
LP 279-11,4,268.0,0.75432646,16.14424,46671.53273330972,26342.744069782457,85034.61105436397,21741.659449112733,101683.80523758095,281474.35254414985
LP 558-26,3,354.0,1.03496,15.45405,49926.20784112339,31730.830622241494,61997.79250137778,22592.858958114983,98375.17684516795,264622.8667680256
Pul -3 910022,3,900.0,1.07002,14.579796,52776.72232634148,19702.4924334927,44048.84224663124,26285.855712463464,69822.63864975405,212636.55136868294
Pul -3 910022,3,925.0,1.12582,14.591981,57443.061111338364,20522.781418571307,52523.21090922653,30477.179008464478,71883.88654594982,232850.1189935505
TYC 3015-369-1,2,1180.0,1.0926399,12.651819,25601.828975113833,6151.586373857665,12737.569324674045,7000.543651264324,21248.710908205278,72740.23923311513
TYC 3455 460-1,1,1372.0,1.07146,11.31868,9179.682429012264,4313.301097908815,4824.370311368419,793.2522738345451,7030.427279392191,26141.033391516234
TYC 3836-261-1,1,826.0,1.04847,12.105495,8853.759928928328,6624.262864545461,13246.535980782304,772.640161405864,14142.975425380186,43640.17436104214
Wolf 1409,1,993.0,0.770814,11.686797,5302.130000935199,3534.784491232134,8674.920683255052,260.00387035290134,6625.851746458236,24397.690792233523
